G2,Ἀαρών
G2379,θυσιαστήριον
G2380,θύω
G2381,Θωμᾶς
G2383,Ἰάϊρος
G2384,Ἰακώβ-2
G2385,Ἰάκωβος-5
G2394,Ἰάσων-2
G2405,ἱερατεία
G2408,Ἰερεμίας
G2409,ἱερεύς
G2410,Ἰεριχώ
G2411,ἱερός
G2414,Ἱεροσόλυμα-2
G2415,Ἱεροσολυμίτης
G2421,Ἰεσσαί
G2424,Ἰησοῦς-4
G2430,Ἰκόνιον
G2433,ἱλάσκομαι
G2434,ἱλασμός
G2435,ἱλαστήριος
G2436,ἵλεως
G2438,ἱμάς
G2440,ἱμάτιον-2
G2441,ἱματισμός
G2445,Ἰόππη
G2446,Ἰορδάνης
G2448,Ἰωδά
G2449,Ἰουδαία
G2453,Ἰουδαῖος-2
G2455,Ἰούδας-9
G2459,Ἰοῦστος-3
G2462,ἵππος
G2464,Ἰσαάκ
G2469,Ἰσκαριώθ
G2474,Ἰσραήλ-3
G2475,Ἰσραηλίτης
G2480,ἰσχύω-3
G2482,Ἰταλία
G2485,ἰχθύδιον
G2486,ἰχθύς
G2489,Ἰωάννα
G2491,Ἰωάννης-6
G2495,Ἰωνᾶς
G2500,Ἰωσῆς-2
G2501,Ἰωσήχ
G2511,καθαρίζω
G2512,καθαρισμός
G2513,καθαρός
G2515,καθέδρα
G2533,Καϊάφας
G2535,Κάϊν
G2541,Καῖσαρ
G2542,Καισάρεια
G2563,κάλαμος-4
G2570,καλος
G2574,κάμηλος
G2575,κάμινος
G2580,Κανά
G2581,Καναναῖος
G2584,Καφαρναούμ
G2587,Καππαδοκία
G2588,καρδία
G2589,καρδιογνώστης
G2595,κάρφος
G2607,καταγινώσκω
G2613,καταδίκη
G2615,καταδουλόω
G2631,κατάκριμα
G2632,κατακρίνω
G2633,κατάκρισις
G2643,καταλλαγή
G2644,καταλλάσσω
G2646,κατάλυμα-2
G2665,καταπέτασμα
G2681,κατασκηνόω
G2682,κατασκήνωσις
G2715,κατεξουσιάζω
G2725,κατήγωρ
G2747,Κεγχρεαί
G2756,κενός
G2757,κενοφωνία
G2758,κενόω
G2763,κεραμεύς
G2765,κεράμιον
G2778,κῆνσος
G2782,κήρυγμα
G2783,κῆρυξ
G2784,κηρύσσω
G2786,Κηφᾶς
G2787,κιβωτός-2
G2788,κιθάρα
G2789,κιθαρίζω
G2790,κιθαρῳδός
