weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur,zone_8_eur,zone_9_eur,zone_10_eur,zone_11_eur
83.0,286.39,444.11,606.34,580.59,702.46,728.37,874.67,1121.82,1523.15,1991.86,2216.01
83.5,290.91,451.37,616.43,589.85,713.28,739.36,887.87,1140.17,1547.28,2020.88,2246.32
84.0,290.91,451.37,616.43,589.85,713.28,739.36,887.87,1140.17,1547.28,2020.88,2246.32
84.5,295.43,458.63,626.52,599.11,724.1,750.35,901.07,1158.52,1571.41,2049.9,2276.63
85.0,295.43,458.63,626.52,599.11,724.1,750.35,901.07,1158.52,1571.41,2049.9,2276.63
85.5,299.95,465.89,636.61,608.37,734.92,761.34,914.27,1176.87,1595.54,2078.92,2306.94
86.0,299.95,465.89,636.61,608.37,734.92,761.34,914.27,1176.87,1595.54,2078.92,2306.94
86.5,304.47,473.15,646.7,617.63,745.74,772.33,927.47,1195.22,1619.67,2107.94,2337.25
87.0,304.47,473.15,646.7,617.63,745.74,772.33,927.47,1195.22,1619.67,2107.94,2337.25
87.5,308.99,480.41,656.79,626.89,756.56,783.32,940.67,1213.57,1643.8,2136.96,2367.56
88.0,308.99,480.41,656.79,626.89,756.56,783.32,940.67,1213.57,1643.8,2136.96,2367.56
88.5,313.51,487.67,666.88,636.15,767.38,794.31,953.87,1231.92,1667.93,2165.98,2397.87
89.0,313.51,487.67,666.88,636.15,767.38,794.31,953.87,1231.92,1667.93,2165.98,2397.87
89.5,318.03,494.93,676.97,645.41,778.2,805.3,967.07,1250.27,1692.06,2195.0,2428.18
90.0,318.03,494.93,676.97,645.41,778.2,805.3,967.07,1250.27,1692.06,2195.0,2428.18
90.5,322.55,502.19,687.06,654.67,789.02,816.29,980.27,1268.62,1716.19,2224.02,2458.49
91.0,322.55,502.19,687.06,654.67,789.02,816.29,980.27,1268.62,1716.19,2224.02,2458.49
91.5,327.07,509.45,697.15,663.93,799.84,827.28,993.47,1286.97,1740.32,2253.04,2488.8
92.0,327.07,509.45,697.15,663.93,799.84,827.28,993.47,1286.97,1740.32,2253.04,2488.8
92.5,331.59,516.71,707.24,673.19,810.66,838.27,1006.67,1305.32,1764.45,2282.06,2519.11
93.0,331.59,516.71,707.24,673.19,810.66,838.27,1006.67,1305.32,1764.45,2282.06,2519.11
93.5,336.11,523.97,717.33,682.45,821.48,849.26,1019.87,1323.67,1788.58,2311.08,2549.42
94.0,336.11,523.97,717.33,682.45,821.48,849.26,1019.87,1323.67,1788.58,2311.08,2549.42
94.5,340.63,531.23,727.42,691.71,832.3,860.25,1033.07,1342.02,1812.71,2340.1,2579.73
95.0,340.63,531.23,727.42,691.71,832.3,860.25,1033.07,1342.02,1812.71,2340.1,2579.73
95.5,345.15,538.49,737.51,700.97,843.12,871.24,1046.27,1360.37,1836.84,2369.12,2610.04
96.0,345.15,538.49,737.51,700.97,843.12,871.24,1046.27,1360.37,1836.84,2369.12,2610.04
96.5,349.67,545.75,747.6,710.23,853.94,882.23,1059.47,1378.72,1860.97,2398.14,2640.35
97.0,349.67,545.75,747.6,710.23,853.94,882.23,1059.47,1378.72,1860.97,2398.14,2640.35
97.5,354.19,553.01,757.69,719.49,864.76,893.22,1072.67,1397.07,1885.1,2427.16,2670.66
98.0,354.19,553.01,757.69,719.49,864.76,893.22,1072.67,1397.07,1885.1,2427.16,2670.66
98.5,358.71,560.27,767.78,728.75,875.58,904.21,1085.87,1415.42,1909.23,2456.18,2700.97
99.0,358.71,560.27,767.78,728.75,875.58,904.21,1085.87,1415.42,1909.23,2456.18,2700.97
99.5,363.23,567.53,777.87,738.01,886.4,915.2,1099.07,1433.77,1933.36,2485.2,2731.28
100.0,363.23,567.53,777.87,738.01,886.4,915.2,1099.07,1433.77,1933.36,2485.2,2731.28
100.5,367.75,574.79,787.96,747.27,897.22,926.19,1112.27,1452.12,1957.49,2514.22,2761.59
101.0,367.75,574.79,787.96,747.27,897.22,926.19,1112.27,1452.12,1957.49,2514.22,2761.59
101.5,372.27,582.05,798.05,756.53,908.04,937.18,1125.47,1470.47,1981.62,2543.24,2791.9
102.0,372.27,582.05,798.05,756.53,908.04,937.18,1125.47,1470.47,1981.62,2543.24,2791.9
102.5,376.79,589.31,808.14,765.79,918.86,948.17,1138.67,1488.82,2005.75,2572.26,2822.21
103.0,376.79,589.31,808.14,765.79,918.86,948.17,1138.67,1488.82,2005.75,2572.26,2822.21
103.5,381.31,596.57,818.23,775.05,929.68,959.16,1151.87,1507.17,2029.88,2601.28,2852.52
104.0,381.31,596.57,818.23,775.05,929.68,959.16,1151.87,1507.17,2029.88,2601.28,2852.52
104.5,385.83,603.83,828.32,784.31,940.5,970.15,1165.07,1525.52,2054.01,2630.3,2882.83
105.0,385.83,603.83,828.32,784.31,940.5,970.15,1165.07,1525.52,2054.01,2630.3,2882.83
105.5,390.35,611.09,838.41,793.57,951.32,981.14,1178.27,1543.87,2078.14,2659.32,2913.14
106.0,390.35,611.09,838.41,793.57,951.32,981.14,1178.27,1543.87,2078.14,2659.32,2913.14
106.5,394.87,618.35,848.5,802.83,962.14,992.13,1191.47,1562.22,2102.27,2688.34,2943.45
107.0,394.87,618.35,848.5,802.83,962.14,992.13,1191.47,1562.22,2102.27,2688.34,2943.45
107.5,399.39,625.61,858.59,812.09,972.96,1003.12,1204.67,1580.57,2126.4,2717.36,2973.76
108.0,399.39,625.61,858.59,812.09,972.96,1003.12,1204.67,1580.57,2126.4,2717.36,2973.76
108.5,403.91,632.87,868.68,821.35,983.78,1014.11,1217.87,1598.92,2150.53,2746.38,3004.07
109.0,403.91,632.87,868.68,821.35,983.78,1014.11,1217.87,1598.92,2150.53,2746.38,3004.07
109.5,408.43,640.13,878.77,830.61,994.6,1025.1,1231.07,1617.27,2174.66,2775.4,3034.38
110.0,408.43,640.13,878.77,830.61,994.6,1025.1,1231.07,1617.27,2174.66,2775.4,3034.38
110.5,412.95,647.39,888.86,839.87,1005.42,1036.09,1244.27,1635.62,2198.79,2804.42,3064.69
111.0,412.95,647.39,888.86,839.87,1005.42,1036.09,1244.27,1635.62,2198.79,2804.42,3064.69
111.5,417.47,654.65,898.95,849.13,1016.24,1047.08,1257.47,1653.97,2222.92,2833.44,3095.0
112.0,417.47,654.65,898.95,849.13,1016.24,1047.08,1257.47,1653.97,2222.92,2833.44,3095.0
112.5,421.99,661.91,909.04,858.39,1027.06,1058.07,1270.67,1672.32,2247.05,2862.46,3125.31
113.0,421.99,661.91,909.04,858.39,1027.06,1058.07,1270.67,1672.32,2247.05,2862.46,3125.31
113.5,426.51,669.17,919.13,867.65,1037.88,1069.06,1283.87,1690.67,2271.18,2891.48,3155.62
114.0,426.51,669.17,919.13,867.65,1037.88,1069.06,1283.87,1690.67,2271.18,2891.48,3155.62
114.5,431.03,676.43,929.22,876.91,1048.7,1080.05,1297.07,1709.02,2295.31,2920.5,3185.93
115.0,431.03,676.43,929.22,876.91,1048.7,1080.05,1297.07,1709.02,2295.31,2920.5,3185.93
115.5,435.55,683.69,939.31,886.17,1059.52,1091.04,1310.27,1727.37,2319.44,2949.52,3216.24
116.0,435.55,683.69,939.31,886.17,1059.52,1091.04,1310.27,1727.37,2319.44,2949.52,3216.24
116.5,440.07,690.95,949.4,895.43,1070.34,1102.03,1323.47,1745.72,2343.57,2978.54,3246.55
117.0,440.07,690.95,949.4,895.43,1070.34,1102.03,1323.47,1745.72,2343.57,2978.54,3246.55
117.5,444.59,698.21,959.49,904.69,1081.16,1113.02,1336.67,1764.07,2367.7,3007.56,3276.86
118.0,444.59,698.21,959.49,904.69,1081.16,1113.02,1336.67,1764.07,2367.7,3007.56,3276.86
118.5,449.11,705.47,969.58,913.95,1091.98,1124.01,1349.87,1782.42,2391.83,3036.58,3307.17
119.0,449.11,705.47,969.58,913.95,1091.98,1124.01,1349.87,1782.42,2391.83,3036.58,3307.17
119.5,453.63,712.73,979.67,923.21,1102.8,1135.0,1363.07,1800.77,2415.96,3065.6,3337.48
120.0,453.63,712.73,979.67,923.21,1102.8,1135.0,1363.07,1800.77,2415.96,3065.6,3337.48
120.5,458.15,719.99,989.76,932.47,1113.62,1145.99,1376.27,1819.12,2440.09,3094.62,3367.79
121.0,458.15,719.99,989.76,932.47,1113.62,1145.99,1376.27,1819.12,2440.09,3094.62,3367.79
