weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
50.0,nondoc_or_doc_5lb_plus,556.8,637.61,964.88,1034.8,1855.8,959.98,1170.48,923.71,1319.01,1959.81,766.02,1868.54,1308.75,2089.26
51.0,nondoc_or_doc_5lb_plus,561.93,643.95,979.48,1051.74,1885.0,975.29,1190.6,939.23,1340.52,1996.01,781.68,1893.53,1329.55,2121.74
52.0,nondoc_or_doc_5lb_plus,567.06,650.29,994.08,1068.68,1914.2,990.6,1210.72,954.75,1362.03,2032.21,797.34,1918.52,1350.35,2154.22
53.0,nondoc_or_doc_5lb_plus,572.19,656.63,1008.68,1085.62,1943.4,1005.91,1230.84,970.27,1383.54,2068.41,813.0,1943.51,1371.15,2186.7
54.0,nondoc_or_doc_5lb_plus,577.32,662.97,1023.28,1102.56,1972.6,1021.22,1250.96,985.79,1405.05,2104.61,828.66,1968.5,1391.95,2219.18
55.0,nondoc_or_doc_5lb_plus,582.45,669.31,1037.88,1119.5,2001.8,1036.53,1271.08,1001.31,1426.56,2140.81,844.32,1993.49,1412.75,2251.66
56.0,nondoc_or_doc_5lb_plus,587.58,675.65,1052.48,1136.44,2031.0,1051.84,1291.2,1016.83,1448.07,2177.01,859.98,2018.48,1433.55,2284.14
57.0,nondoc_or_doc_5lb_plus,592.71,681.99,1067.08,1153.38,2060.2,1067.15,1311.32,1032.35,1469.58,2213.21,875.64,2043.47,1454.35,2316.62
58.0,nondoc_or_doc_5lb_plus,597.84,688.33,1081.68,1170.32,2089.4,1082.46,1331.44,1047.87,1491.09,2249.41,891.3,2068.46,1475.15,2349.1
59.0,nondoc_or_doc_5lb_plus,602.97,694.67,1096.28,1187.26,2118.6,1097.77,1351.56,1063.39,1512.6,2285.61,906.96,2093.45,1495.95,2381.58
60.0,nondoc_or_doc_5lb_plus,608.1,701.01,1110.88,1204.2,2147.8,1113.08,1371.68,1078.91,1534.11,2321.81,922.62,2118.44,1516.75,2414.06
61.0,nondoc_or_doc_5lb_plus,613.23,707.35,1125.48,1221.14,2177.0,1128.39,1391.8,1094.43,1555.62,2358.01,938.28,2143.43,1537.55,2446.54
62.0,nondoc_or_doc_5lb_plus,618.36,713.69,1140.08,1238.08,2206.2,1143.7,1411.92,1109.95,1577.13,2394.21,953.94,2168.42,1558.35,2479.02
63.0,nondoc_or_doc_5lb_plus,623.49,720.03,1154.68,1255.02,2235.4,1159.01,1432.04,1125.47,1598.64,2430.41,969.6,2193.41,1579.15,2511.5
64.0,nondoc_or_doc_5lb_plus,628.62,726.37,1169.28,1271.96,2264.6,1174.32,1452.16,1140.99,1620.15,2466.61,985.26,2218.4,1599.95,2543.98
65.0,nondoc_or_doc_5lb_plus,633.75,732.71,1183.88,1288.9,2293.8,1189.63,1472.28,1156.51,1641.66,2502.81,1000.92,2243.39,1620.75,2576.46
66.0,nondoc_or_doc_5lb_plus,638.88,739.05,1198.48,1305.84,2323.0,1204.94,1492.4,1172.03,1663.17,2539.01,1016.58,2268.38,1641.55,2608.94
67.0,nondoc_or_doc_5lb_plus,644.01,745.39,1213.08,1322.78,2352.2,1220.25,1512.52,1187.55,1684.68,2575.21,1032.24,2293.37,1662.35,2641.42
